number;name;brand;price;numberofsim;diagonal;width;length;screentechnology;os;numberofcore;memoryGB;sensortype
173;Vivo Y1S, Ripple Blue;Vivo;59990;2;6.22;1520;720;TFT (TN);Android 10;8;32;Face ID
174;Vivo Y1S, Olive Black;Vivo;59990;2;6.22;1520;720;TFT (TN);Android 10;8;32;Face ID
175;OPPO Reno 4 Pro, Galactic Blue;OPPO;249990;2;6.5;2400;1080;AMOLED;Android 10;8;256;акселерометр
176;OPPO Reno 4 Pro, Starry Night;OPPO;249990;2;6.5;2400;1080;AMOLED;Android 10;8;256;акселерометр
177;OPPO Reno 4 Lite, Metallic White;OPPO;139990;2;6.4;2400;1080;AMOLED;Android 10;8;128;акселерометр
178;OPPO Reno 4 Lite, Magic Blue;OPPO;139990;2;6.4;2400;1080;AMOLED;Android 10;8;128;акселерометр
179;OPPO Reno 4 Lite, Matte Black;OPPO;139990;2;6.4;2400;1080;AMOLED;Android 10;8;128;акселерометр
180;Samsung Galaxy A12 4/64GB, Red (SM-A125FZRVSKZ);Samsung;79890;2;6.5;1600;720;TFT LCD;Android;8;64;акселерометр
181;Samsung Galaxy A12 4/64GB, Black (SM-A125FZKVSKZ);Samsung;79890;2;6.5;1600;720;TFT LCD;Android;8;64;акселерометр
182;Samsung Galaxy A12 4/64GB, Blue (SM-A125FZBVSKZ);Samsung;79890;2;6.5;1600;720;TFT LCD;Android;8;64;акселерометр
183;Samsung Galaxy A12 3/32GB, Red (SM-A125FZRUSKZ);Samsung;64890;2;6.5;1600;720;TFT LCD;Android;8;32;акселерометр
184;Samsung Galaxy A12 3/32GB, Black (SM-A125FZKUSKZ);Samsung;64890;2;6.5;1600;720;TFT LCD;Android;8;32;акселерометр
185;Samsung Galaxy A12 3/32GB, Blue (SM-A125FZBUSKZ);Samsung;64890;2;6.5;1600;720;TFT LCD;Android;8;32;акселерометр
186;Samsung Galaxy A02s 3/32GB, White (SM-A025FZWESKZ);Samsung;54190;2;6.5;1600;720;TFT LCD;Android;8;32;акселерометр
187;Samsung Galaxy A02s 3/32GB, Black (SM-A025FZKESKZ);Samsung;54690;2;6.5;1600;720;TFT LCD;Android;8;32;акселерометр
188;Samsung Galaxy A02s 3/32GB, Blue (SM-A025FZBESKZ);Samsung;54590;2;6.5;1600;720;TFT LCD;Android;8;32;акселерометр
189;Apple iPhone 12 Pro 256GB Silver;Apple;649990;1;6.1;2532;1170;OLED;iOS 14;6;256;Face ID
190;Apple iPhone 12 Pro 256GB Graphite;Apple;649990;1;6.1;2532;1170;OLED;iOS 14;6;256;Face ID
191;Apple iPhone 12 128GB Green;Apple;454990;1;6.1;2532;1170;OLED;iOS 14;6;128;Face ID
192;Apple iPhone 12 128GB White;Apple;454990;1;6.1;2532;1170;OLED;iOS 14;6;128;Face ID
193;Apple iPhone 12 64GB, Blue;Apple;424990;1;6.1;2532;1170;OLED;iOS 14;6;64;Face ID
194;Apple iPhone 12 64GB, Black;Apple;424990;1;6.1;2532;1170;OLED;iOS 14;6;64;Face ID
195;Xiaomi Redmi 9A 32GB, Granite Gray;Xiaomi;54990;2;6.53;1600;720;IPS;Android 10;8;32;акселерометр
196;Xiaomi Redmi 9C 64GB, Sunrise Orange;Xiaomi;64990;2;6.53;1600;720;IPS;Android 10;8;64;акселерометр
197;OPPO A53 128GB, Fancy Blue;OPPO;109999;2;6.5;1600;720;IPS;Android 10;8;128;акселерометр
198;OPPO A53 128GB, Electric Black;OPPO;109999;2;6.5;1600;720;IPS;Android 10;8;128;акселерометр
199;OPPO A53 64GB, Fancy Blue;OPPO;99990;2;6.5;1600;720;IPS;Android 10;8;64;акселерометр
200;OPPO A53 64GB, Mint Cream;OPPO;99990;2;6.5;1600;720;IPS;Android 10;8;64;акселерометр
201;OPPO A53 64GB, Electric Black;OPPO;99990;2;6.5;1600;720;IPS;Android 10;8;64;акселерометр
